"Name","City","State","Access","Count","Latitude","Longitude","Wall","Proshop","Indoor","Lights","Surface"
"The Park at Canterbury","Orlando","FL","Private",1,28.5909561,-81.285224,"No","No","No","Yes","Hard"
"Tippit Middle School","Austin-San Marcos","TX","Public",8,30.615173,-97.7007937,"Yes","No","No","Yes","Hard"
"Lexington Park","Minneapolis-St. Paul","MN","Public",1,44.8520963,-93.1421,"No","No","No","No","Hard"
"Rogers Junior School","Minneapolis-St. Paul","MN","Public",6,45.207841,-93.544174,"No","No","No","No","Hard"
"Melrose Park","West Palm Beach - Boca Raton","FL","Private",2,26.5534934,-80.2005816,"No","No","No","No","Hard"
"Cherry Grove East","Denver","CO","Private",2,39.7179324,-104.8220158,"No","No","No","Yes","Hard"
"Juneau Playfield","Milwaukee","WI","Public",6,43.0352388,-87.99405,"No","No","No","No","Hard"
"Glenleigh","Atlanta","GA","Private",2,33.8419403,-84.5557165,"No","No","No","Yes","Hard"
"Washington Square Park","Detroit","MI","Public",2,42.5900257,-82.9785883,"No","No","No","No","Hard"
"Timber Trace","Atlanta","GA","Private",2,33.8254799,-84.1795313,"No","No","No","Yes","Hard"
"Stonehenge Condominiums","Detroit","MI","Private",1,42.4628452,-83.4361517,"No","No","No","No","Hard"
"Chase Elementary School","Baltimore","MD","Public",1,39.3430184,-76.3923383,"No","No","No","No","Hard"
"University of Memphis","Memphis","TN","Public",16,35.1138005,-89.9391782,"No","No","No","Yes","Hard"
"Watersedge","Oklahoma City","OK","Private",2,35.4435314,-97.5941491,"No","No","No","No","Hard"
"University of California - Berkeley Hellman Tennis Stadium","San Francisco - Oakland - San Jose","CA","Public",6,37.8699667,-122.2650218,"No","No","No","Yes","Hard"
"Sequoia High School","San Francisco - Oakland - San Jose","CA","Public",4,37.4834403,-122.2371697,"No","No","No","No","Hard"
"Central Park Condominiums","Fresno","CA","Private",2,36.8112775,-119.7664797,"No","No","No","Yes","Hard"
"H. Grady Spruce High School","Dallas - Fort Worth","TX","Public",2,32.709345,-96.6518462,"No","No","No","No","Hard"
"Friendswood Lakes","Houston - Galveston - Brazoria","TX","Private",2,29.491011,-95.2020264,"No","No","No","Yes","Hard"
"Clearbrook","West Palm Beach - Boca Raton","FL","Private",1,26.4520645,-80.1019835,"No","No","No","Yes","Hard"
"Lexington Park at Westchase","Tampa-St. Petersburg-Clearwater","FL","Private",1,28.0582338,-82.6248372,"No","No","No","Yes","Hard"
"Westheimer Lakes","Houston - Galveston - Brazoria","TX","Private",2,29.6892737,-95.8291483,"No","No","No","Yes","Hard"
"Rhodes Technology & Media Internal Charter School","San Antonio","TX","Public",2,29.4157689,-98.5420632,"No","No","No","No","Hard"
"Canyon Lake High School","San Antonio","TX","Public",6,29.9423009,-98.2166576,"No","No","No","No","Hard"
"Lakes At Renaissance Park","Austin-San Marcos","TX","Private",1,30.4364178,-97.6861382,"No","No","No","No","Hard"
"Campbell Park","Denver","CO","Public",4,39.9788959,-104.81404,"Yes","No","No","Yes","Hard"
"Sterling Glen Apartments","Richmond-Petersburg","VA","Private",1,37.3994486,-77.6962996,"No","No","No","Yes","Hard"
"The Durham","Minneapolis-St. Paul","MN","Private",3,44.8715416,-93.3201778,"No","No","No","Yes","Hard"
"Village At Lake Park","Atlanta","GA","Private",4,33.8889247,-84.4909358,"No","No","No","Yes","Hard"
"Butterfield Village","Memphis","TN","Private",1,35.0968253,-89.8676813,"No","No","No","Yes","Hard"
"Links at Rolling Meadows","Grand Rapids","MI","Private",2,42.752275,-86.1250019,"No","No","No","No","Hard"
"Gardner Park","Indianapolis","IN","Public",2,39.8399423,-86.048566,"No","No","No","No","Hard"
"Ralph B. Clark Regional Park","Los Angeles","CA","Public",4,33.8951766,-117.9802895,"No","No","No","Yes","Hard"
"Montanoso Recreation and Fitness Center","Los Angeles","CA","Public",2,33.5870958,-117.66366,"Yes","No","No","Yes","Hard"
"Rancho San Antonio County Park","San Francisco - Oakland - San Jose","CA","Public",4,37.3353438,-122.0912147,"Yes","No","No","No","Hard"
"Eagledale Park","Seattle","WA","Public",1,47.6098376,-122.5215483,"Yes","No","No","No","Hard"
"Miramonte High School","San Francisco - Oakland - San Jose","CA","Public",6,37.8421225,-122.1452451,"Yes","No","No","No","Hard"
"Heron Point","Fresno","CA","Private",1,36.8131672,-119.852246,"No","No","No","Yes","Clay"
"Whispertree","Houston - Galveston - Brazoria","TX","Private",1,29.8000252,-95.43632,"No","No","No","Yes","Hard"
"Lone Pine Park","West Palm Beach - Boca Raton","FL","Public",1,26.7692634,-80.1153839,"No","No","No","No","Hard"
"Royale Bermuda","Orlando","FL","Private",1,28.3101427,-81.4155042,"No","No","No","No","Hard"
"Bowie High School","Austin-San Marcos","TX","Public",8,30.1888903,-97.8585184,"Yes","No","No","No","Hard"
"Woodcreek Village","Austin-San Marcos","TX","Private",2,30.0177998,-98.1156564,"No","No","No","No","Hard"
"Camden Deerfield","Atlanta","GA","Private",1,34.1053376,-84.2668641,"No","No","No","Yes","Hard"
"Avonlea Crossing","Atlanta","GA","Private",2,34.0415029,-84.0403461,"No","No","No","Yes","Hard"
"Lake Bluff Elementary School","Milwaukee","WI","Public",2,43.0971755,-87.891891,"Yes","No","No","No","Hard"
"Champion's Run","Atlanta","GA","Private",4,34.1113071,-84.1233122,"No","No","No","Yes","Hard"
"Thelma G. Spencer Park","Detroit","MI","Public",2,42.6296015,-83.1078118,"Yes","No","No","No","Hard"
"Harbor Pointe","Atlanta","GA","Private",2,33.9723707,-84.3702257,"No","No","No","Yes","Hard"
"Hidden Lake","Atlanta","GA","Private",2,33.5681907,-84.5178437,"No","No","No","Yes","Hard"
